key,authors,year,title,venue,identifier,evidence_tier,relevance,documented_in,local_files,notes
arrow-decentralization,Arrow-Hurwicz,,Decentralization and Computation in Resource Allocation,,,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,year and identifier not captured
arrow1951,"Arrow, K.J. & Hurwicz, L.",1951/1958,A Gradient Method for Approximating Saddle Points and Constrained Maxima,RAND P-223; reprinted as book chapter,RAND P-223; chapter DOI: 10.1007/978-3-0348-0439-4_2,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,Arrow-Hurwicz-Uzawa price dynamics
askeland2026,"Askeland, Bjarghov",2026,Strategic baseline manipulation in local flexibility markets: Market design and policy implications,,10.2139/ssrn.7050528,abstract-level,domain-context,HANDOFF_PRICE_MAKER_20260814.md,,baseline manipulation in local flexibility markets
bae2024,"Bae, Kulcsar, Gros",2024,Personalized dynamic pricing policy for electric vehicles: Reinforcement learning approach,,10.1016/j.trc.2024.104540,abstract-level,domain-context,HANDOFF_PRICE_MAKER_20260814.md,,RL station pricing without exact fleet feasibility
bai2017,"Bai, L., Wang, J., Wang, C., Chen, C., Li, F.",2017,Distribution Locational Marginal Pricing (DLMP) for Congestion Management and Voltage Support,IEEE Transactions on Power Systems 33(4):4061–4073,DOI: 10.1109/tpwrs.2017.2767632,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,seen in citation lists
bailey2025,"Bailey, M. R., Brown, D. P., Myers, E., Shaffer, B., & Wolak, F. A.",2025,Electric Vehicles and the Energy Transition: Unintended Consequences of Time-of-Use Pricing,American Economic Review: Insights 7(4):550–566,10.1257/aeri.20240476,abstract-level,core-threat,READING_QUEUE.md;AGENT4_ECONOMIC_THEORY_20260814.md,,empirical self-defeating-taker anchor
baldick,"Baldick, R.",,Restructured Electricity Markets: Market Power,UT Austin EE394V course notes,,institutional/grey,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,course notes; grey literature
baumol1964,"Baumol, W.J. & Fabian, T.",1964,"Decomposition, Pricing for Decentralization and External Economies",Management Science 11(1):1–32,10.1287/mnsc.11.1.1,abstract-level,method-anchor,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,pricing-under-indivisibility spine; title not given
bichler2023,"Bichler, Knorr, Maldonado",2023,Pricing in Nonconvex Markets: How to Price Electricity in the Presence of Demand Response,,10.1287/isre.2022.1139,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md,,nonconvex pricing with demand response
bie2024,"Bie, Y., Qin, W., Wu, J.",2024,Optimal electric bus scheduling method under hybrid energy supply mode of photovoltaic–energy storage system–power grid,"Applied Energy 372, art. 123774",DOI: 10.1016/j.apenergy.2024.123774,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,
box-step-discrete,,,The Use of the Box Step Method in Discrete Optimization,,DOI: 10.1007/bfb0120702,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,companion piece; authors not captured
bragin2023,"Bragin, M.A.",2023,"Survey on Lagrangian Relaxation for MILP: Importance, Challenges, Historical Review, Recent Advancements, and Opportunities",arXiv,DOI: 10.48550/arxiv.2301.00573,abstract-level,core-threat,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,owns LR-as-price-coordination rhetoric
briant2008,"Briant, O., Lemaréchal, C., Meurdesoif, Ph., Michel, S., Perrot, N. & Vanderbeck, F.",2008,Comparison of Bundle and Classical Column Generation,Mathematical Programming,,abstract-level,method-anchor,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,column generation stabilization foundation
brinkel2023,"Brinkel, N., Zijlstra, M., van Bezu, R., van Twuijver, T., Lampropoulos, I., van Sark, W.",2023,A comparative analysis of charging strategies for battery electric buses in wholesale electricity and ancillary services markets,"Transportation Research Part E 172, art. 103085",DOI: 10.1016/j.tre.2023.103085; PII S136655452300073X,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,reserves beat arbitrage benchmark
brown2018,"Brown, T. et al.",2018,"Synergies of sector coupling and transmission reinforcement in a cost-optimised, highly renewable European energy system",Energy,DOI: 10.1016/j.energy.2018.06.222,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,
bruny-island-microgrid2020,,2020,Synergic integration of desalination and electric vehicle loads with hybrid micro-grid sizing and control: An Island Case Study,Energy Storage (Wiley),DOI: 10.1002/est2.104,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
burton1974,"Burton, Damon & Loughridge",1974,The Economics of Decomposition: Resource Allocation vs Transfer Pricing,Decision Sciences,DOI: 10.1111/j.1540-5915.1974.tb00617.x,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,
bus-charging-private-cars2024,,2024,Optimizing bus charging infrastructure by incorporating private car charging demands and uncertain solar photovoltaic generation,npj Sustainable Mobility (Nature Portfolio),DOI: 10.1038/s44333-024-00021-5,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
bus-depot-microgrid-codesign2024,,2024,Co-Design Optimization and Total Cost of Ownership Analysis of an Electric Bus Depot Microgrid with Photovoltaics and Energy Storage Systems,Energies 17(24):6233,mdpi.com/1996-1073/17/24/6233,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,depot-microgrid co-design; authors not captured
bus-fleet-flexibility-germany2024,,2024,Analyzing the flexibility potential of bus fleet operators in Germany,Smart Energy,DOI: 10.1016/j.segy.2024.100153,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
caines2017,Caines & Kizilkale,2017,,IEEE TAC,DOI: 10.1109/tac.2016.2637347,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,partially observed variant; named by DOI
caiso2011,CAISO Market Surveillance Committee,2011,Opinion on FERC Order 745,,,institutional/grey,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,grey regulatory literature
capacitysubscription2025,,2025,,Applied Energy 391,,abstract-level,domain-context,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,capacity subscription adequacy study; title not given
carvalho2022,"Carvalho, Lodi, Pedroso",2022,Computing equilibria for integer programming games,EJOR 303(3),10.1016/j.ejor.2022.03.048,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md,,sample generation method for IPG equilibria
carvalho2023,"Carvalho, Dragotto, Lodi, Sankaranarayanan",2023,Integer Programming Games: A Gentle Computational Overview,INFORMS TutORials,arXiv:2306.02817,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,IPG orientation tutorial; complexity and algorithms
carvalho2024,"Carvalho, Dragotto, Feijoo, Lodi, Sankaranarayanan",2024,When Nash Meets Stackelberg,Management Science 70(10),10.1287/mnsc.2022.03418,abstract-level,core-threat,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,NASP kills Nash-among-Stackelberg claim; arXiv:1910.06452
carvalho2025,"Carvalho, Dragotto, Lodi, Sankaranarayanan",2025,The Cut-and-Play Algorithm: Computing Nash Equilibria via Outer Approximations,Operations Research,10.1287/opre.2023.0327,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,outer-approximation Nash equilibrium computation
carvalhosurvey,"Carvalho, Dragotto, Lodi, Sankaranarayanan",,Integer Programming Games,,10.1561/2400000040,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md,,IPG survey volume; year not stated
cascading-mef2025,,2025,Cascading marginal emissions signals for green charging with growing electric vehicle adoption,Nature Communications,article s41467-025-64979-7,abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,identifier unverified; DOI not displayed
ch-price-benchmark,,,,arXiv,arXiv:2504.01474,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,CH-price first-order benchmark; named by identifier
chalmers-electrolyzers,,,Effect of large-scale variable electric loads and operation strategy in decentralized electricity markets: Case of large electrolyzers,Chalmers,,abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,identifier unverified; no DOI observed
chao1986,"Chao, Oren, Smith & Wilson",1986,Multilevel demand subscription pricing for electric power,Energy Economics 8(4):199–217,DOI: 10.1016/0140-9883(86)90001-0,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,
chao1987,"Chao, H.-p., & Wilson, R.",1987,"Priority Service: Pricing, Investment, and Market Organization",American Economic Review 77(5):899–916,,abstract-level,core-threat,AGENT4_ECONOMIC_THEORY_20260814.md,,identifier unverified; founding menu literature
chen2026,"Sheng Chen, Han Zhang, Qiuwei Wu, Peiyue Li, and Zhinong Wei",2026,Learning the Price Response of Spatiotemporal EV Charging Flow: A Graph-Attentive Surrogate Model,IEEE Transactions on Transportation Electrification 12(2),10.1109/TTE.2026.3657374,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;ROUTE_AND_RESPONSE_LEARNING_20260814.md,Learning_the_Price_Response_of_Spatiotemporal_EV_Charging_Flow_A_Graph-Attentive_Surrogate_Model.pdf,kills GNN price-response charging surrogate claim
cho2025,"Cho, Lodi, Scaglione",2025,Electric Vehicle Scheduling and Vehicle-to-Grid Integration in Microgrids,arXiv,arXiv:2508.06752; DOI: 10.48550/arxiv.2508.06752,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,own work
clairand2020,"Clairand, J.-M., et al.",2020,Power Generation Planning of Galapagos Microgrid Considering Electric Vehicles and Induction Stoves,Energies 13(13):3455,mdpi PDF: energies-13-03455,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,
clp-evsp-csp,,,,arXiv,arXiv 2403.09763,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,CLP-EVSP-CSP charging-location choice; identifier only
clpevspcsp,,,,,arXiv:2403.09763,abstract-level,domain-context,EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md,,CLP-EVSP-CSP co-optimization line; title not given
coase1937,Coase,1937,The Nature of the Firm,,,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,classic; no DOI
convexhullpricingsurvey2024,,2024,"Convex Hull Pricing for Unit Commitment: Survey, Insights, and Discussions",Energies 17(19):4851,10.3390/en17194851,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,convex hull pricing survey; mostly supply-side
coordination-games-graphs2022,,2022,Coordination Games on Weighted Directed Graphs,Mathematics of Operations Research,DOI: 10.1287/moor.2021.1159,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured
cornelusse2019,"Cornélusse, B., Savelli, I., Paoletti, S., Giannitrapani, A., Vicino, A.",2019,A community microgrid architecture with an internal local market,Applied Energy,10.1016/j.apenergy.2019.03.109,abstract-level,core-threat,READING_QUEUE.md;AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,no-vehicles dictator-market precedent
cross-line-depot-config2026,,2026,Coordinated Optimization of Cross-Line Electric Bus Scheduling and Photovoltaic–Storage–Charging Depot Configuration,Energies 19(7):1791,DOI: 10.3390/en19071791,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,joint scheduling plus sizing; authors not captured
crozier,"Crozier, C., et al.",2023,Spatial Arbitrage Through Bidirectional Electric Vehicle Charging with Delivery Fleets,arXiv,arXiv:2311.11464,abstract-level,domain-context,READING_QUEUE.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,mobile-energy economics for B24; year not stated
cui2021,"Cui, Hu & Duan",2021,,,DOI: 10.1109/tsg.2021.3053026,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,named by DOI only
dagstuhl2024,,2024,Machine Learning Augmented Algorithms for Combinatorial Optimization,Dagstuhl Report 14(10),,institutional/grey,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,poses ML-augmented CG guarantees as open
dantzig1960,"Dantzig, G.B. & Wolfe, P.",1960,Decomposition Principle for Linear Programs,Operations Research 8(1):101–111,DOI: 10.1287/opre.8.1.101,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,original price-directed decomposition
dantzigwolfebilevel2025,,2025,A Dantzig-Wolfe Single-Level Reformulation for Mixed-Integer Linear Bilevel Optimization: Exact and Heuristic Approaches,Optimization Online,,abstract-level,core-threat,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,closest neighbor to duty-columns-in-bilevel; priority read
decision-focused-learning2024,,2024,Decision-focused learning under decision dependent uncertainty for power systems with price-responsive demand,Electric Power Systems Research,ScienceDirect S0378779624005510,abstract-level,core-threat,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured; DOI not captured
decisiondependent2025,,2025,Decision-Dependent Stochastic Optimization: The Role of Distribution Dynamics,,arXiv:2503.07324,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,stateful decision-dependent distribution dynamics
decisionfocused2025,,2025,Decision-Focused Surrogate Modeling for Mixed-Integer Linear Optimization,,,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,2025 preprint; learned parametric cutting planes
deori2018,"Luca Deori, Kostas Margellos, and Maria Prandini",2018,Price of anarchy in electric vehicle charging control games: When Nash equilibria achieve social welfare,Automatica 96,10.1016/j.automatica.2018.06.043,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;MARKET_MECHANISMS_AND_BUS_DR_20260814.md,1251251.pdf;S0005109818303352.html,kills continuous charging-game potential and price-of-anarchy claims
der-aggregator-lem2021,,2021,Integration of DERs in the Aggregator Platform for the Optimal Participation in Wholesale and Local Electricity Markets,IET conference,DOI: 10.1049/icp.2021.1657,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,only local-market price-maker found; authors not captured
deviveroserrano2019,"De Vivero-Serrano, Bruninx, Delarue",2019,Implications of bid structures on the offering strategies of merchant energy storage systems,,10.1016/j.apenergy.2019.113375,abstract-level,domain-context,HANDOFF_PRICE_MAKER_20260814.md;READING_QUEUE.md,,priority PDF request; bid structures for storage
dignazio2024,"D'Ignazio, K.A.",2024,The Electric Bus Rostering and Charging Scheduling Problem with Uncertain Energy Consumption: a Two-Stage Stochastic Programming Approach,HEC Montréal MSc thesis,biblos.hec.ca,institutional/grey,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,thesis; transportation-side recourse
ding2022,"Yanyan Ding, Sen Li, and Sisi Jian",2022,Optimal pricing and fleet management for shared electric vehicle in coupled power and transport networks,Transportation Research Part C 141,10.1016/j.trc.2022.103727,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;ROUTE_AND_RESPONSE_LEARNING_20260814.md,main2.pdf,kills platform-DNO Nash/Stackelberg EV incentive claim
dlmp-congestion-ev2025,,2025,DLMP-Based Congestion Management Model for Power Distribution Network Considering Network Loss and EV Charging Demand Uncertainty,IEEE Transactions on Smart Grid,DOI: 10.1109/tsg.2025.3631315,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,iterative DSO-EVA price loop; authors not captured
dlmp-ev-aggregator-bilevel2020,,2020,DLMP Calculation and Congestion Minimization With EV Aggregator Loading in a Distribution Network Using Bilevel Program,IEEE Systems Journal,DOI: 10.1109/jsyst.2020.2997189,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,price-anticipating EV aggregator; authors not captured
dlmp-flexibility-quantification2022,,2022,DLMP-Based Quantification and Analysis Method of Operational Flexibility in Flexible Distribution Networks,IEEE Trans. Sustainable Energy,DOI: 10.1109/tste.2022.3197175,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
dolatabadi2025,"Hosseini Dolatabadi, S.H., Dong, Y., Bhuiyan, T.H., Zeng, B., O'Neill, B., Severson, A.",2025,Leveraging Electric School Buses for Disaster Recovery: Optimizing Routing and Energy Scheduling via Branch-and-Price,arXiv,arXiv:2510.14131,abstract-level,core-threat,READING_QUEUE.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,most method-similar external group; title abbreviated in source
double-auction-lem-simulation2022,,2022,Simulation Analysis of a Double Auction-Based Local Energy Market in Socio-Economic Context,Sustainability 14(13):7642,DOI: 10.3390/su14137642,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
dr-vcg2017,,2017,Contract Design for Energy Demand Response,IJCAI 2017,DOI: 10.24963/ijcai.2017/167; arXiv:1705.07300,abstract-level,core-threat,AGENT4_ECONOMIC_THEORY_20260814.md,,DR-VCG; authors not captured
dragotto2023,"Dragotto, Scatamacchia",2023,The Zero Regrets Algorithm: Optimizing over Pure Nash Equilibria via Integer Programming,INFORMS J. Computing,10.1287/ijoc.2022.0282,abstract-level,core-threat,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,kills generic cutting-plane equilibrium-oracle claim
dtu-ebus-as-thesis2025,,2025,Maximizing revenue from ancillary services provided by electric buses,DTU MSc thesis,backend.orbit.dtu.dk,institutional/grey,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,thesis; author not captured
dtuclsthesis2023,,2023,,,,institutional/grey,domain-context,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,DTU thesis standardizing CLS market clearing; title not given
dtuebusthesis2024,,2024/25,,,,institutional/grey,domain-context,EXTERNAL_DEEP_DIVE_20260814.md,,DTU MSc thesis; e-bus FCR-D/aFRR bidding in DK2
dual-consensus-dispatch,,,,,DOI: 10.1109/tsg.2020.3018622,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,dual-consensus economic dispatch; named by DOI only
duan2020,"Duan, X., Hu, Z., Song, Y.",2020,Bidding Strategies in Energy and Reserve Markets for an Aggregator of Multiple EV Fast Charging Stations With Battery Storage,IEEE Trans. ITS 22(1):471–482,DOI: 10.1109/tits.2020.3019608,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,seen in citations
dumerle1999,"du Merle, O., Villeneuve, D., Desrosiers, J. & Hansen, P.",1999,Stabilized Column Generation,Discrete Mathematics,10.1016/s0012-365x(98)00213-1,abstract-level,method-anchor,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,stabilized column generation foundation
dumouchelle2024,Dumouchelle et al.,2024,Neur2BiLO: Neural Bilevel Optimization,,10.52202/079017-2752,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md;EXTERNAL_DEEP_DIVE_20260814.md,,learned value-function surrogates for bilevel
duos-tariffs-flexibility2024,,2024,Integrating Variable Distribution Use-of-System Tariffs and Local Flexibility Markets through a Bilevel Modelling Approach,DTU / EV4EU project paper,ev4eu.eu PDF,institutional/grey,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,project paper; authors not captured
dynge2023,Dynge et al.,2023,"Local electricity market pricing mechanisms' impact on welfare distribution, privacy and transparency",Applied Energy 341:121112,DOI: 10.1016/j.apenergy.2023.121112,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,seen in citation lists
eb-operator-bidding2022,,2022,Bidding and Charging Scheduling Optimization for the Urban Electric Bus Operator,IEEE Transactions on Smart Grid,DOI: 10.1109/tsg.2022.3197429,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,trip-chain flexibility bidding; authors not captured
eb-swapping-fcas2024,,2024,Optimal Electric Bus Charging and Battery Swapping With Renewable Energy and Frequency Control Ancillary Service Through Aggregator,IEEE Trans. Transportation Electrification,DOI: 10.1109/tte.2024.3445830,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not captured
eb-timetable-shifting2023,,2023,Integrated optimization of electric bus scheduling and charging planning incorporating flexible charging and timetable shifting,TRC,DOI: 10.1016/j.trc.2023.104175,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not captured
ebus-control-arxiv2309,,,,arXiv,arXiv:2309.00523,abstract-level,core-threat,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,LR plus dual decomposition e-bus control
ebus-lr-applied-energy,,,,Applied Energy,PII S030626192201769X,abstract-level,core-threat,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,per-bus LR charging scheduling; named by PII
elastic-flexible-uc2023,,2023,Elastic flexible unit commitment: A scenario-based power-electric fleet analysis,International Journal of Electrical Power & Energy Systems,,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,identifier unverified; DOI not observed
electricbustou2025,,2025,Optimization of electric bus vehicle scheduling and charging strategies under Time-of-Use electricity price,Transp. Res. Part E 196,,abstract-level,domain-context,EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md,,MIP plus dynamic-label-setting branch-and-price
electricitymaps,Electricity Maps,,Optimizing electricity consumption with a marginal signal may not reduce its carbon footprint,,,institutional/grey,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,grey literature
electrolyzer-market-values2022,,2022,How flexible electricity demand stabilizes wind and solar market values: The case of hydrogen electrolyzers,Applied Energy 307,,abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,identifier unverified; RePEc listing
eltaweel2022,"El-Taweel, N.A., Ayad, A., Farag, H.E.Z., Mohamed, M.",2022/2023,Optimal Energy Management for Battery Swapping Based Electric Bus Fleets With Consideration of Grid Ancillary Services Provision,IEEE Trans. Sustainable Energy 14(2):1024–1036,DOI: 10.1109/tste.2022.3232696,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,
emobility-hub-strategy2024,,2024,"Development of a Cost-Driven, Real-Time Management Strategy for e-Mobility Hubs Including Islanded Operation",Energies 17(17):4229,DOI: 10.3390/en17174229,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
energies2022review,,2022,,Energies,,abstract-level,domain-context,EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md,,e-bus scheduling/timetabling/grid-impact review; title not given
energy-hub-smpc2026,,2026,Scenario-Based Stochastic MPC for Energy Hubs with EV Fleets Under Persistent Grid Outages,arXiv,DOI: 10.48550/arxiv.2604.18268,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
esb-backup-power2024,,2024,Resilience and environmental benefits of electric school buses as backup power for educational functions continuation during outages,"Building and Environment, art. 112329",DOI: 10.1016/j.buildenv.2024.112329,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not captured
euphemiadescription,NEMO Committee / Nord Pool,,EUPHEMIA public description,,,institutional/grey,domain-context,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,market description; verify current exclusive-group rules
ev-dlmp-implications2024,,2024,Electric Vehicle Charging Implications on Distribution Locational Marginal Prices,EEM 2024,DOI: 10.1109/eem60825.2024.10608919,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
ev-herding-demo2025,,2025,Herding from Uncoordinated Smart Charging of EVs: A Real-Life Demonstration,IEEE ISGT Europe 2025,DOI: 10.1109/isgteurope64741.2025.11305626,abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured
